FileName :   BH62_grain1.qtiDat 
Signal(s) Used :  K  Ka, Si Ka, Mg Ka, Na Ka, Al Ka, Ti Ka, Fe Ka, Cr Ka, Mn Ka, Ni Ka, P  Ka, Ca Ka 
Spectromers Conditions :   Sp3 LPET,  Sp4 TAP,  Sp4 TAP,  Sp1 LTAP,  Sp1 LTAP,  Sp2 PET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp3 LPET,  Sp2 PET 
Full Spectromers Conditions :   Sp3 LPET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 40nA  
Date :  16-Nov-2014 
User Name :  sx 
Setup Name :  Mathews_sp_13november2014.qtiSet 
DataSet Comment :  BH62_grain1_profile1_sp 
Comment :  BH62_grain1 
Analysis Date :  15/11/2014 01:23:26 
Project Name :  Simon Matthews 
Sample Name :  14 November 2014 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp3(K  Ka)	1890	1124	3	560	791	Inte	 
  Sp4(Si Ka)	1313	2713	3	2074	2433	Inte	 
  Sp4(Mg Ka)	1313	2713	3	2074	2433	Inte	 
  Sp1(Na Ka)	1301	2697	3	2008	2194	Inte	 
  Sp1(Al Ka)	1301	2697	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1305	910	3	1935	456	Inte	 
  Sp5(Fe Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Cr Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Ni Ka)	1868	445	3	1007	399	Inte	 
  Sp3(P  Ka)	1890	1124	3	560	791	Inte	 
  Sp2(Ca Ka)	1305	910	3	1935	456	Inte 
Peak Position :   Sp3 42748 (-300, 250),  Sp4 27744 (-500, 300),  Sp4 38523 (-500, 500),  Sp1 46386 (-600, 400),  Sp1 32481 (-500, 500),  Sp2 31420 (-350, 250),  Sp5 48089 (-250, 300),  Sp5 56875 (-250, 300),  Sp5 52204 (200, 1.0221),  Sp5 41185 (-500, 500),  Sp3 70304 (-700, 600),  Sp2 38386 (-300, 250) 
Current Sample Position :   X = 8681 Y = 36292 Z = 92 
Standard Name :   
 K  On KSp 
 Si, Ca On Diopside 
 Mg On Olivine (St. Johns) 
 Na On Jad 
 Al On Cor 
 Ti On Rutile 
 Fe On Fayalite 
 Cr On Cr 
 Mn On Mn 
 Ni On NiO 
 P  On Apatite 
Standard composition :   
 KSp = O  : 46.1%, Na : 0.8%, Al : 9.7%, Si : 30.3%, K  : 12.8%, Fe : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Jad = O  : 47.5%, Na : 11.3%, Al : 13.2%, Si : 27.8%, Fe : 0.2% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cr = Cr : 100.% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
Calibration file name :   
 K  : KSp_K_K033.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca043.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg043.calDat 
 Na : Jad_Na308.calDat 
 Al : Cor_Al_Al050.calDat 
 Ti : Rutile_Ti_Ti053.calDat 
 Fe : Fayalite_Fe282.calDat 
 Cr : Cr_Cr288.calDat 
 Mn : Mn_Mn290.calDat 
 Ni : NiO_Ni091.calDat 
 P  : Apatite_P_P028.calDat 
Beam Size :  1 µm 

DataSet/Point	K2O	SiO2	MgO	Na2O	Al2O3	TiO2	FeO	Cr2O3	MnO	NiO	P2O5	CaO	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.0000	0.1333	19.1481	0.0051	43.2655	0.1427	13.1480	21.0793	0.1105	0.2585	0.0015	0.0043	97.2968	8681.	36292.	92.	BH62_grain1_profile1_sp	0.	 1	15/11/2014 01:23:26	
1 / 2 . 	0.0062	0.1463	19.3809	0.0002	44.4303	0.1552	12.9572	19.5432	0.1186	0.2743	0.0056	0.0126	97.0306	8675.3	36295.	92.	BH62_grain1_profile1_sp	6.41	 2	15/11/2014 01:28:46	
1 / 3 . 	0.0000	0.1466	19.5638	0.0000	44.9361	0.1358	12.4901	19.4815	0.1031	0.2863	0.0041	0.0148	97.1622	8669.7	36298.	92.	BH62_grain1_profile1_sp	12.82	 3	15/11/2014 01:33:52	
1 / 4 . 	0.0002	0.1313	19.5233	0.0047	45.0004	0.1523	12.7855	19.4725	0.0979	0.2632	0.0101	0.0175	97.4587	8664.	36301.	92.	BH62_grain1_profile1_sp	19.24	 4	15/11/2014 01:39:01	
1 / 5 . 	0.0026	0.1358	19.3542	0.0000	44.1402	0.1528	13.0361	20.2841	0.1121	0.2411	0.0111	0.0116	97.4819	8658.3	36304.	92.	BH62_grain1_profile1_sp	25.65	 5	15/11/2014 01:44:09	
1 / 6 . 	0.0000	0.1069	19.1068	0.0043	42.7819	0.1677	13.1089	21.4447	0.0826	0.2796	0.0000	0.0103	97.0937	8652.7	36307.	92.	BH62_grain1_profile1_sp	32.06	 6	15/11/2014 01:49:17	
1 / 7 . 	0.0000	0.1069	18.8242	0.0032	41.9587	0.1635	13.3290	22.3717	0.1225	0.2394	0.0000	0.0102	97.1293	8647.	36310.	92.	BH62_grain1_profile1_sp	38.47	 7	15/11/2014 01:54:25	
2 / 1 . 		39.9930	47.4922		0.0747	0.0080	10.2072	0.0884	0.1553	0.2928	0.0054	0.3869	98.7038	8617.	36317.	92.	BH62_grain1_profile1_ol	68.71	 8	15/11/2014 01:59:34	
2 / 2 . 		39.7595	47.5464		0.0750	0.0051	10.1650	0.0841	0.1586	0.2892	0.0078	0.3891	98.4797	8607.7	36324.5	92.	BH62_grain1_profile1_ol	80.18	 9	15/11/2014 02:11:22	
2 / 3 . 		39.9296	47.4577		0.0760	0.0027	10.3963	0.0779	0.1721	0.3007	0.0075	0.3942	98.8145	8598.4	36332.	92.	BH62_grain1_profile1_ol	91.78	 10	15/11/2014 02:22:52	
2 / 4 . 		39.9388	47.3773		0.0706	0.0030	10.4448	0.0814	0.1674	0.3023	0.0042	0.3907	98.7805	8589.1	36339.5	92.	BH62_grain1_profile1_ol	103.45	 11	15/11/2014 02:34:23	
2 / 5 . 		40.0043	47.1440		0.0666	0.0000	10.3422	0.0746	0.1552	0.3051	0.0079	0.3879	98.4878	8579.8	36347.	92.	BH62_grain1_profile1_ol	115.18	 12	15/11/2014 02:45:52	
2 / 6 . 		39.8248	47.2121		0.0638	0.0000	10.4347	0.0762	0.1874	0.2975	0.0083	0.3819	98.4865	8570.5	36354.5	92.	BH62_grain1_profile1_ol	126.95	 13	15/11/2014 02:57:23	
2 / 7 . 		39.8987	47.2792		0.0639	0.0000	10.5127	0.0688	0.1715	0.2970	0.0083	0.3850	98.6850	8561.2	36362.	92.	BH62_grain1_profile1_ol	138.75	 14	15/11/2014 03:08:54	
2 / 8 . 		39.8613	47.2240		0.0660	0.0038	10.6697	0.0820	0.1746	0.2863	0.0061	0.3814	98.7550	8551.9	36369.5	92.	BH62_grain1_profile1_ol	150.58	 15	15/11/2014 03:20:24	
2 / 9 . 		39.8634	47.0587		0.0675	0.0028	10.6402	0.0771	0.1744	0.2942	0.0053	0.3776	98.5612	8542.6	36377.	92.	BH62_grain1_profile1_ol	162.42	 16	15/11/2014 03:31:54	
2 / 10 . 		39.9066	47.0663		0.0662	0.0022	10.8351	0.0797	0.1768	0.2974	0.0049	0.3742	98.8092	8533.3	36384.5	92.	BH62_grain1_profile1_ol	174.27	 17	15/11/2014 03:43:23	
2 / 11 . 		40.1571	46.8859		0.0657	0.0067	10.8186	0.0659	0.1980	0.3020	0.0054	0.3744	98.8797	8524.	36392.	92.	BH62_grain1_profile1_ol	186.14	 18	15/11/2014 03:54:52	
3 / 1 . 		40.2303	46.8397		0.0724	0.0029	10.9109	0.0751	0.1706	0.2966	0.0064	0.3709	98.9757	8497.	36401.	92.	BH62_grain1_profile1_ol	213.86	 19	15/11/2014 04:06:27	
3 / 2 . 		39.7980	46.8773		0.0621	0.0036	11.1013	0.0714	0.2062	0.2839	0.0075	0.3684	98.7797	8489.9	36410.1	92.	BH62_grain1_profile1_ol	224.71	 20	15/11/2014 04:18:16	
