FileName :   BH62_grain1.qtiDat 
Signal(s) Used :  K  Ka, Si Ka, Mg Ka, Na Ka, Al Ka, Ti Ka, Fe Ka, Cr Ka, Mn Ka, Ni Ka, P  Ka, Ca Ka 
Spectromers Conditions :   Sp3 LPET,  Sp4 TAP,  Sp4 TAP,  Sp1 LTAP,  Sp1 LTAP,  Sp2 PET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp3 LPET,  Sp2 PET 
Full Spectromers Conditions :   Sp3 LPET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 40nA  
Date :  16-Nov-2014 
User Name :  sx 
Setup Name :  Mathews_sp_13november2014.qtiSet 
DataSet Comment :  BH62_grain1_profile1_sp 
Comment :  BH62_grain1 
Analysis Date :  15/11/2014 01:23:26 
Project Name :  Simon Matthews 
Sample Name :  14 November 2014 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp3(K  Ka)	1890	1124	3	560	791	Inte	 
  Sp4(Si Ka)	1313	2713	3	2074	2433	Inte	 
  Sp4(Mg Ka)	1313	2713	3	2074	2433	Inte	 
  Sp1(Na Ka)	1301	2697	3	2008	2194	Inte	 
  Sp1(Al Ka)	1301	2697	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1305	910	3	1935	456	Inte	 
  Sp5(Fe Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Cr Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Ni Ka)	1868	445	3	1007	399	Inte	 
  Sp3(P  Ka)	1890	1124	3	560	791	Inte	 
  Sp2(Ca Ka)	1305	910	3	1935	456	Inte 
Peak Position :   Sp3 42748 (-300, 250),  Sp4 27744 (-500, 300),  Sp4 38523 (-500, 500),  Sp1 46386 (-600, 400),  Sp1 32481 (-500, 500),  Sp2 31420 (-350, 250),  Sp5 48089 (-250, 300),  Sp5 56875 (-250, 300),  Sp5 52204 (200, 1.0221),  Sp5 41185 (-500, 500),  Sp3 70304 (-700, 600),  Sp2 38386 (-300, 250) 
Current Sample Position :   X = 8681 Y = 36292 Z = 92 
Standard Name :   
 K  On KSp 
 Si, Ca On Diopside 
 Mg On Olivine (St. Johns) 
 Na On Jad 
 Al On Cor 
 Ti On Rutile 
 Fe On Fayalite 
 Cr On Cr 
 Mn On Mn 
 Ni On NiO 
 P  On Apatite 
Standard composition :   
 KSp = O  : 46.1%, Na : 0.8%, Al : 9.7%, Si : 30.3%, K  : 12.8%, Fe : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Jad = O  : 47.5%, Na : 11.3%, Al : 13.2%, Si : 27.8%, Fe : 0.2% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cr = Cr : 100.% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
Calibration file name :   
 K  : KSp_K_K033.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca043.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg043.calDat 
 Na : Jad_Na308.calDat 
 Al : Cor_Al_Al050.calDat 
 Ti : Rutile_Ti_Ti053.calDat 
 Fe : Fayalite_Fe282.calDat 
 Cr : Cr_Cr288.calDat 
 Mn : Mn_Mn290.calDat 
 Ni : NiO_Ni091.calDat 
 P  : Apatite_P_P028.calDat 
Beam Size :  1 µm 

DataSet/Point	K	Si	Mg	Na	Al	Ti	Fe	Cr	Mn	Ni	P	Ca	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	162.	136.	240.	157.	163.	152.	664.	771.	399.	522.	100.	161.		8681.	36292.	92.	BH62_grain1_profile1_sp	0.	 1	15/11/2014 01:23:26	
1 / 2 . 	159.	137.	240.	161.	166.	150.	663.	737.	406.	512.	102.	156.		8675.3	36295.	92.	BH62_grain1_profile1_sp	6.41	 2	15/11/2014 01:28:46	
1 / 3 . 	168.	135.	235.	162.	166.	153.	666.	747.	409.	496.	105.	156.		8669.7	36298.	92.	BH62_grain1_profile1_sp	12.82	 3	15/11/2014 01:33:52	
1 / 4 . 	161.	137.	233.	158.	167.	146.	655.	776.	423.	516.	99.	156.		8664.	36301.	92.	BH62_grain1_profile1_sp	19.24	 4	15/11/2014 01:39:01	
1 / 5 . 	160.	133.	241.	163.	165.	152.	656.	754.	407.	506.	99.	157.		8658.3	36304.	92.	BH62_grain1_profile1_sp	25.65	 5	15/11/2014 01:44:09	
1 / 6 . 	165.	139.	238.	162.	163.	150.	680.	754.	431.	511.	106.	162.		8652.7	36307.	92.	BH62_grain1_profile1_sp	32.06	 6	15/11/2014 01:49:17	
1 / 7 . 	162.	136.	241.	162.	163.	149.	686.	775.	412.	530.	107.	159.		8647.	36310.	92.	BH62_grain1_profile1_sp	38.47	 7	15/11/2014 01:54:25	
2 / 1 . 		137.	203.		12.	60.	390.	129.	235.	138.	23.	44.		8617.	36317.	92.	BH62_grain1_profile1_ol	68.71	 8	15/11/2014 01:59:34	
2 / 2 . 		139.	203.		12.	60.	390.	126.	238.	136.	22.	44.		8607.7	36324.5	92.	BH62_grain1_profile1_ol	80.18	 9	15/11/2014 02:11:22	
2 / 3 . 		139.	204.		12.	60.	388.	125.	226.	138.	22.	45.		8598.4	36332.	92.	BH62_grain1_profile1_ol	91.78	 10	15/11/2014 02:22:52	
2 / 4 . 		138.	205.		12.	60.	383.	125.	230.	137.	23.	45.		8589.1	36339.5	92.	BH62_grain1_profile1_ol	103.45	 11	15/11/2014 02:34:23	
2 / 5 . 		137.	205.		12.	61.	386.	124.	239.	138.	23.	45.		8579.8	36347.	92.	BH62_grain1_profile1_ol	115.18	 12	15/11/2014 02:45:52	
2 / 6 . 		138.	206.		12.	60.	400.	123.	226.	139.	23.	45.		8570.5	36354.5	92.	BH62_grain1_profile1_ol	126.95	 13	15/11/2014 02:57:23	
2 / 7 . 		138.	204.		12.	61.	398.	126.	232.	138.	22.	44.		8561.2	36362.	92.	BH62_grain1_profile1_ol	138.75	 14	15/11/2014 03:08:54	
2 / 8 . 		139.	204.		12.	60.	389.	120.	231.	137.	23.	45.		8551.9	36369.5	92.	BH62_grain1_profile1_ol	150.58	 15	15/11/2014 03:20:24	
2 / 9 . 		138.	205.		12.	60.	399.	123.	231.	138.	23.	45.		8542.6	36377.	92.	BH62_grain1_profile1_ol	162.42	 16	15/11/2014 03:31:54	
2 / 10 . 		138.	206.		12.	60.	391.	123.	235.	138.	23.	45.		8533.3	36384.5	92.	BH62_grain1_profile1_ol	174.27	 17	15/11/2014 03:43:23	
2 / 11 . 		138.	204.		12.	60.	393.	124.	228.	138.	23.	45.		8524.	36392.	92.	BH62_grain1_profile1_ol	186.14	 18	15/11/2014 03:54:52	
3 / 1 . 		139.	206.		12.	61.	390.	126.	239.	137.	23.	45.		8497.	36401.	92.	BH62_grain1_profile1_ol	213.86	 19	15/11/2014 04:06:27	
3 / 2 . 		138.	207.		12.	60.	387.	124.	217.	140.	23.	45.		8489.9	36410.1	92.	BH62_grain1_profile1_ol	224.71	 20	15/11/2014 04:18:16	
3 / 3 . 		139.	207.		12.	61.	402.	125.	245.	138.	23.	45.		8482.7	36419.3	92.	BH62_grain1_profile1_ol	235.62	 21	15/11/2014 04:29:47	
3 / 4 . 		139.	206.		12.	60.	401.	123.	237.	139.	23.	45.		8475.6	36428.4	92.	BH62_grain1_profile1_ol	246.61	 22	15/11/2014 04:41:19	
3 / 5 . 		140.	207.		12.	61.	398.	125.	239.	139.	23.	45.		8468.4	36437.6	92.	BH62_grain1_profile1_ol	257.64	 23	15/11/2014 04:52:49	
3 / 6 . 		139.	205.		12.	61.	399.	123.	230.	139.	23.	45.		8461.3	36446.7	92.	BH62_grain1_profile1_ol	268.72	 24	15/11/2014 05:04:19	
3 / 7 . 		138.	205.		12.	60.	412.	124.	245.	141.	23.	45.		8454.1	36455.9	92.	BH62_grain1_profile1_ol	279.84	 25	15/11/2014 05:15:51	
